2026-05-28 15:59:16 | INFO | run_etl:main:21 | DÉMARRAGE DU PIPELINE ETL - SINISTRES BTP
2026-05-28 15:59:16 | INFO | run_etl:main:22 | ============================================================
2026-05-28 15:59:16 | INFO | config:test_connection:52 | ✅ Connexion PostgreSQL établie avec succès
2026-05-28 15:59:16 | INFO | run_etl:main:30 | 🔍 Phase 1: Extraction
2026-05-28 15:59:17 | INFO | extract:extract_auto_sinistres:20 | ✅ 410 sinistres auto extraits
2026-05-28 15:59:17 | INFO | extract:extract_trc_sinistres:31 | ✅ 166 sinistres chantier extraits
2026-05-28 15:59:17 | INFO | run_etl:main:35 | 🔄 Phase 2: Transformation
2026-05-28 15:59:17 | INFO | transform:clean_auto_data:18 | Nettoyage des données auto...
2026-05-28 15:59:17 | INFO | transform:clean_auto_data:62 | Nettoyage terminé: 410 lignes
2026-05-28 15:59:17 | INFO | transform:clean_chantier_data:67 | Nettoyage des données chantier...
2026-05-28 15:59:17 | INFO | transform:clean_chantier_data:91 | Nettoyage terminé: 166 lignes
2026-05-28 15:59:17 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\auto_cleaned.parquet
2026-05-28 15:59:17 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\chantier_cleaned.parquet
2026-05-28 15:59:17 | INFO | run_etl:main:46 | 💾 Phase 3: Chargement DWH
2026-05-28 15:59:17 | INFO | load:run_full_load:162 | === DÉBUT CHARGEMENT DWH ===
2026-05-28 15:59:17 | INFO | load:load_dim_temps:24 | Chargement dim_temps...
2026-05-28 15:59:17 | INFO | load:load_dim_temps:55 | ✅ 436 dates chargées
2026-05-28 15:59:17 | INFO | load:load_dim_vehicule:59 | Chargement dim_vehicule...
2026-05-28 15:59:18 | INFO | load:load_dim_vehicule:85 | ✅ 325 véhicules chargés
2026-05-28 15:59:18 | INFO | load:load_dim_geographie:89 | Chargement dim_geographie...
2026-05-28 15:59:18 | INFO | load:load_dim_geographie:106 | ✅ 12 départements chargés
2026-05-28 15:59:18 | INFO | load:load_fact_sinistres_auto:110 | Chargement fait_sinistres (auto)...
2026-05-28 15:59:18 | ERROR | connection:get_db_connection:30 | Erreur base de données: ERREUR:  syntaxe en entrée invalide pour le type integer : « AUTO-2022-001 »
LINE 7:                         ) VALUES ('AUTO-2022-001', 20220717,...
                                          ^

2026-05-28 16:45:21 | INFO | run_etl:main:20 | ============================================================
2026-05-28 16:45:21 | INFO | run_etl:main:21 | DÉMARRAGE DU PIPELINE ETL - SINISTRES BTP
2026-05-28 16:45:21 | INFO | run_etl:main:22 | ============================================================
2026-05-28 16:45:21 | INFO | config:test_connection:52 | ✅ Connexion PostgreSQL établie avec succès
2026-05-28 16:45:21 | INFO | run_etl:main:30 | 🔍 Phase 1: Extraction
2026-05-28 16:45:21 | INFO | extract:extract_auto_sinistres:20 | ✅ 410 sinistres auto extraits
2026-05-28 16:45:21 | INFO | extract:extract_trc_sinistres:31 | ✅ 166 sinistres chantier extraits
2026-05-28 16:45:21 | INFO | run_etl:main:35 | 🔄 Phase 2: Transformation
2026-05-28 16:45:21 | INFO | transform:clean_auto_data:18 | Nettoyage des données auto...
2026-05-28 16:45:21 | INFO | transform:clean_auto_data:62 | Nettoyage terminé: 410 lignes
2026-05-28 16:45:21 | INFO | transform:clean_chantier_data:67 | Nettoyage des données chantier...
2026-05-28 16:45:21 | INFO | transform:clean_chantier_data:91 | Nettoyage terminé: 166 lignes
2026-05-28 16:45:21 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\auto_cleaned.parquet
2026-05-28 16:45:21 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\chantier_cleaned.parquet
2026-05-28 16:45:21 | INFO | run_etl:main:46 | 💾 Phase 3: Chargement DWH
2026-05-28 16:45:21 | INFO | load:run_full_load:162 | === DÉBUT CHARGEMENT DWH ===
2026-05-28 16:45:21 | INFO | load:load_dim_temps:24 | Chargement dim_temps...
2026-05-28 16:45:21 | INFO | load:load_dim_temps:55 | ✅ 436 dates chargées
2026-05-28 16:45:21 | INFO | load:load_dim_vehicule:59 | Chargement dim_vehicule...
2026-05-28 16:45:22 | INFO | load:load_dim_vehicule:85 | ✅ 325 véhicules chargés
2026-05-28 16:45:22 | INFO | load:load_dim_geographie:89 | Chargement dim_geographie...
2026-05-28 16:45:22 | INFO | load:load_dim_geographie:106 | ✅ 12 départements chargés
2026-05-28 16:45:22 | INFO | load:load_fact_sinistres_auto:110 | Chargement fait_sinistres (auto)...
2026-05-28 16:45:22 | ERROR | connection:get_db_connection:30 | Erreur base de données: ERREUR:  une instruction insert ou update sur la table « fait_sinistres » viole la contrainte de clé
étrangère « fait_sinistres_id_assureur_fkey »
DETAIL:  La clé (id_assureur)=(1) n'est pas présente dans la table « dim_assureur ».

2026-05-28 17:30:51 | INFO | run_etl:main:20 | ============================================================
2026-05-28 17:30:51 | INFO | run_etl:main:21 | DÉMARRAGE DU PIPELINE ETL - SINISTRES BTP
2026-05-28 17:30:51 | INFO | run_etl:main:22 | ============================================================
2026-05-28 17:30:51 | INFO | config:test_connection:52 | ✅ Connexion PostgreSQL établie avec succès
2026-05-28 17:30:51 | INFO | run_etl:main:30 | 🔍 Phase 1: Extraction
2026-05-28 17:30:52 | INFO | extract:extract_auto_sinistres:20 | ✅ 410 sinistres auto extraits
2026-05-28 17:30:52 | INFO | extract:extract_trc_sinistres:31 | ✅ 166 sinistres chantier extraits
2026-05-28 17:30:52 | INFO | run_etl:main:35 | 🔄 Phase 2: Transformation
2026-05-28 17:30:52 | INFO | transform:clean_auto_data:18 | Nettoyage des données auto...
2026-05-28 17:30:52 | INFO | transform:clean_auto_data:62 | Nettoyage terminé: 410 lignes
2026-05-28 17:30:52 | INFO | transform:clean_chantier_data:67 | Nettoyage des données chantier...
2026-05-28 17:30:52 | INFO | transform:clean_chantier_data:91 | Nettoyage terminé: 166 lignes
2026-05-28 17:30:53 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\auto_cleaned.parquet
2026-05-28 17:30:53 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\chantier_cleaned.parquet
2026-05-28 17:30:53 | INFO | run_etl:main:46 | 💾 Phase 3: Chargement DWH
2026-05-28 17:30:53 | INFO | load:run_full_load:266 | === DÉBUT CHARGEMENT DWH ===
2026-05-28 17:30:53 | INFO | load:load_dim_temps:24 | Chargement dim_temps...
2026-05-28 17:30:53 | INFO | load:load_dim_temps:48 | ✅ 436 dates chargées
2026-05-28 17:30:53 | INFO | load:load_dim_vehicule:52 | Chargement dim_vehicule...
2026-05-28 17:30:54 | INFO | load:load_dim_vehicule:77 | ✅ 325 véhicules chargés
2026-05-28 17:30:54 | INFO | load:load_dim_assureur:81 | Chargement dim_assureur...
